project_id,camera_id,make,model,serial_number,year_purchased
2003123,2005227,Bushnell,,,
2003123,2005228,Bushnell,,,
2003123,2005229,Bushnell,,,
2003123,2005230,Bushnell,,,
2003123,2005231,Bushnell,,,
2003123,2005232,Bushnell,,,
2003123,2005233,Bushnell,,,
2003123,2005234,Bushnell,,,
2003123,2005235,Bushnell,,,
2003123,2005236,Bushnell,,,
2003123,2005237,Bushnell,,,
2003123,2005238,Bushnell,,,
2003123,2005239,Bushnell,,,
2003123,2005240,Bushnell,,,
2003123,2005241,Bushnell,,,
2003123,2005242,Bushnell,,,
2003123,2005243,Bushnell,,,
2003123,2005244,Bushnell,,,
