project_id,camera_id,make,model,serial_number,year_purchased
2003124,2017311,Bushnell,,,
2003124,2017312,Bushnell,,,
2003124,2017313,Bushnell,,,
2003124,2017314,Bushnell,,,
2003124,2017315,Bushnell,,,
2003124,2017316,Bushnell,,,
2003124,2017317,Bushnell,,,
2003124,2017318,Bushnell,,,
2003124,2017319,Bushnell,,,
2003124,2017320,Bushnell,,,
2003124,2017321,Bushnell,,,
2003124,2017322,Bushnell,,,
2003124,2017323,Bushnell,,,
2003124,2017324,Bushnell,,,
2003124,2017325,Bushnell,,,
2003124,2017326,Bushnell,,,
2003124,2017327,Bushnell,,,
2003124,2017328,Bushnell,,,
2003124,2017329,Bushnell,,,
